Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
Sat Dec 8 2001,8:00p,Philadelphia 76ers,83,Memphis Grizzlies,92,Box Score,,19405,
Sat Dec 8 2001,8:00p,Houston Rockets,97,Minnesota Timberwolves,107,Box Score,,16447,
Sat Dec 8 2001,8:30p,Boston Celtics,84,Chicago Bulls,87,Box Score,,18573,
Sat Dec 8 2001,8:30p,Washington Wizards,102,Dallas Mavericks,95,Box Score,,20241,
Sat Dec 8 2001,8:30p,New Jersey Nets,79,Milwaukee Bucks,95,Box Score,,18717,
Sat Dec 8 2001,9:00p,Golden State Warriors,101,Utah Jazz,111,Box Score,,17844,
Sat Dec 8 2001,10:00p,Seattle SuperSonics,92,Portland Trail Blazers,113,Box Score,,19980,
Sun Dec 9 2001,3:00p,Phoenix Suns,91,Toronto Raptors,90,Box Score,,19800,
Sun Dec 9 2001,6:00p,Houston Rockets,77,Detroit Pistons,105,Box Score,,17751,
Sun Dec 9 2001,9:00p,Charlotte Hornets,78,Los Angeles Clippers,89,Box Score,,16098,
Sun Dec 9 2001,9:00p,Miami Heat,88,Sacramento Kings,95,Box Score,,17317,
Mon Dec 10 2001,9:00p,Dallas Mavericks,98,Utah Jazz,107,Box Score,,18097,
Mon Dec 10 2001,10:30p,Orlando Magic,92,Los Angeles Clippers,100,Box Score,,18964,
Tue Dec 11 2001,7:30p,Milwaukee Bucks,97,Miami Heat,99,Box Score,,15321,
Tue Dec 11 2001,7:30p,Boston Celtics,102,New York Knicks,93,Box Score,OT,19763,
Tue Dec 11 2001,8:00p,Philadelphia 76ers,87,Atlanta Hawks,89,Box Score,,15190,
Tue Dec 11 2001,8:00p,Washington Wizards,91,Memphis Grizzlies,81,Box Score,,19405,
Tue Dec 11 2001,8:00p,Golden State Warriors,86,Minnesota Timberwolves,107,Box Score,,15534,
Tue Dec 11 2001,8:30p,New Jersey Nets,107,Chicago Bulls,93,Box Score,,16892,
Tue Dec 11 2001,8:30p,Portland Trail Blazers,103,Dallas Mavericks,105,Box Score,,17029,
Tue Dec 11 2001,8:30p,Cleveland Cavaliers,107,Houston Rockets,102,Box Score,,9849,
Tue Dec 11 2001,9:00p,Charlotte Hornets,99,Denver Nuggets,96,Box Score,,13912,
Tue Dec 11 2001,10:00p,Orlando Magic,100,Sacramento Kings,112,Box Score,,17317,
Tue Dec 11 2001,10:30p,Seattle SuperSonics,104,Los Angeles Lakers,93,Box Score,,18997,
Wed Dec 12 2001,8:00p,Toronto Raptors,95,San Antonio Spurs,108,Box Score,,16650,
Wed Dec 12 2001,8:00p,Miami Heat,80,Washington Wizards,82,Box Score,,20674,
Wed Dec 12 2001,9:00p,Sacramento Kings,88,Phoenix Suns,114,Box Score,,14568,
Wed Dec 12 2001,9:00p,Minnesota Timberwolves,98,Utah Jazz,87,Box Score,,17870,
Wed Dec 12 2001,10:30p,Seattle SuperSonics,94,Los Angeles Clippers,114,Box Score,,15840,
Thu Dec 13 2001,7:00p,Toronto Raptors,90,Charlotte Hornets,104,Box Score,,9791,
Thu Dec 13 2001,7:00p,Houston Rockets,106,Indiana Pacers,108,Box Score,OT,15534,
Thu Dec 13 2001,7:30p,New York Knicks,97,Detroit Pistons,99,Box Score,,20138,
Thu Dec 13 2001,8:30p,Cleveland Cavaliers,82,Dallas Mavericks,102,Box Score,,17408,
Thu Dec 13 2001,9:00p,Memphis Grizzlies,86,Denver Nuggets,89,Box Score,,11231,
Thu Dec 13 2001,9:00p,Orlando Magic,105,Golden State Warriors,100,Box Score,,16072,
Fri Dec 14 2001,7:00p,Milwaukee Bucks,96,Philadelphia 76ers,80,Box Score,,20641,
Fri Dec 14 2001,7:00p,New York Knicks,80,Washington Wizards,96,Box Score,,20674,
Fri Dec 14 2001,7:30p,Chicago Bulls,101,Boston Celtics,107,Box Score,,14584,
Fri Dec 14 2001,7:30p,New Jersey Nets,95,Miami Heat,86,Box Score,,15212,
Fri Dec 14 2001,8:00p,Sacramento Kings,94,Minnesota Timberwolves,114,Box Score,,17113,
Fri Dec 14 2001,9:00p,San Antonio Spurs,105,Phoenix Suns,93,Box Score,,16187,
Fri Dec 14 2001,9:00p,Portland Trail Blazers,85,Utah Jazz,93,Box Score,,19111,
Fri Dec 14 2001,10:30p,Los Angeles Clippers,80,Los Angeles Lakers,110,Box Score,,18997,
Sat Dec 15 2001,7:30p,Boston Celtics,106,Charlotte Hornets,97,Box Score,,10358,
Sat Dec 15 2001,7:30p,Philadelphia 76ers,94,Cleveland Cavaliers,91,Box Score,,20231,
Sat Dec 15 2001,8:30p,Atlanta Hawks,80,Chicago Bulls,79,Box Score,,18392,
Sat Dec 15 2001,8:30p,Minnesota Timberwolves,117,Dallas Mavericks,125,Box Score,,19485,
Sat Dec 15 2001,8:30p,Miami Heat,76,Houston Rockets,73,Box Score,,11035,
Sat Dec 15 2001,8:30p,Indiana Pacers,95,Milwaukee Bucks,115,Box Score,,18717,
Sat Dec 15 2001,8:30p,Utah Jazz,80,San Antonio Spurs,100,Box Score,,20712,
Sat Dec 15 2001,9:00p,Phoenix Suns,98,Denver Nuggets,106,Box Score,,13593,
Sat Dec 15 2001,10:00p,Orlando Magic,106,Portland Trail Blazers,117,Box Score,,18643,
Sat Dec 15 2001,10:30p,Memphis Grizzlies,84,Golden State Warriors,93,Box Score,,11537,
Sun Dec 16 2001,3:00p,Washington Wizards,93,Toronto Raptors,88,Box Score,,20048,
Sun Dec 16 2001,3:30p,Detroit Pistons,77,Los Angeles Clippers,82,Box Score,,16416,
Sun Dec 16 2001,7:00p,New Jersey Nets,114,New York Knicks,96,Box Score,,19763,
Sun Dec 16 2001,9:00p,Memphis Grizzlies,87,Sacramento Kings,104,Box Score,,17317,
Sun Dec 16 2001,9:00p,Orlando Magic,91,Seattle SuperSonics,114,Box Score,,14753,
Sun Dec 16 2001,9:30p,Golden State Warriors,85,Los Angeles Lakers,101,Box Score,,18997,
Mon Dec 17 2001,7:00p,Boston Celtics,83,Philadelphia 76ers,99,Box Score,,20314,
Tue Dec 18 2001,7:00p,New York Knicks,100,Charlotte Hornets,95,Box Score,,9074,
Tue Dec 18 2001,7:00p,Chicago Bulls,84,Cleveland Cavaliers,102,Box Score,,12389,
Tue Dec 18 2001,7:30p,Indiana Pacers,103,Atlanta Hawks,100,Box Score,,8898,
Tue Dec 18 2001,7:30p,Utah Jazz,95,Miami Heat,56,Box Score,,15122,
Tue Dec 18 2001,8:00p,Milwaukee Bucks,114,Memphis Grizzlies,105,Box Score,,12476,
Tue Dec 18 2001,8:00p,Dallas Mavericks,107,Minnesota Timberwolves,103,Box Score,,17079,
Tue Dec 18 2001,8:00p,Los Angeles Clippers,96,Phoenix Suns,92,Box Score,,15945,
Tue Dec 18 2001,8:30p,Portland Trail Blazers,101,Houston Rockets,92,Box Score,,10318,
Tue Dec 18 2001,9:00p,San Antonio Spurs,102,Denver Nuggets,93,Box Score,,14118,
Tue Dec 18 2001,10:00p,Detroit Pistons,98,Sacramento Kings,102,Box Score,,17317,
Wed Dec 19 2001,7:00p,Cleveland Cavaliers,98,Boston Celtics,104,Box Score,,12705,
Wed Dec 19 2001,7:00p,Charlotte Hornets,94,Philadelphia 76ers,85,Box Score,,20148,
Wed Dec 19 2001,7:00p,Atlanta Hawks,76,Washington Wizards,103,Box Score,,20674,
Wed Dec 19 2001,7:30p,Minnesota Timberwolves,112,New Jersey Nets,117,Box Score,OT,12810,
Wed Dec 19 2001,7:30p,Utah Jazz,90,Orlando Magic,98,Box Score,,14040,
Wed Dec 19 2001,8:00p,Toronto Raptors,102,Indiana Pacers,90,Box Score,,16060,
Wed Dec 19 2001,8:30p,Portland Trail Blazers,79,San Antonio Spurs,97,Box Score,,16089,
Wed Dec 19 2001,10:00p,Sacramento Kings,92,Seattle SuperSonics,104,Box Score,,15831,
Wed Dec 19 2001,10:30p,Detroit Pistons,88,Golden State Warriors,101,Box Score,,12079,
Thu Dec 20 2001,7:00p,Chicago Bulls,91,Toronto Raptors,96,Box Score,,19800,
Thu Dec 20 2001,7:30p,Memphis Grizzlies,90,New York Knicks,88,Box Score,,19763,
Thu Dec 20 2001,8:30p,Milwaukee Bucks,101,Dallas Mavericks,113,Box Score,,19780,
Thu Dec 20 2001,9:00p,Los Angeles Lakers,107,Houston Rockets,101,Box Score,,16285,
Fri Dec 21 2001,7:00p,New Jersey Nets,94,Indiana Pacers,100,Box Score,,16219,
Fri Dec 21 2001,7:00p,Atlanta Hawks,83,Philadelphia 76ers,94,Box Score,,20697,
Fri Dec 21 2001,7:30p,Utah Jazz,92,Boston Celtics,98,Box Score,,16196,
Fri Dec 21 2001,7:30p,Cleveland Cavaliers,86,Miami Heat,81,Box Score,OT,15381,
Fri Dec 21 2001,7:30p,Washington Wizards,93,Orlando Magic,75,Box Score,,17248,
Fri Dec 21 2001,8:00p,Los Angeles Lakers,108,Memphis Grizzlies,114,Box Score,,19405,
Fri Dec 21 2001,8:00p,Charlotte Hornets,89,Minnesota Timberwolves,94,Box Score,,17237,
Fri Dec 21 2001,8:30p,Denver Nuggets,74,San Antonio Spurs,109,Box Score,,22831,
Fri Dec 21 2001,10:00p,Detroit Pistons,81,Portland Trail Blazers,83,Box Score,,18522,
Fri Dec 21 2001,10:30p,Seattle SuperSonics,111,Golden State Warriors,108,Box Score,OT,12129,
Sat Dec 22 2001,7:00p,Charlotte Hornets,88,Atlanta Hawks,101,Box Score,,9775,
Sat Dec 22 2001,7:30p,Indiana Pacers,109,Cleveland Cavaliers,103,Box Score,,12449,
Sat Dec 22 2001,7:30p,Washington Wizards,87,New York Knicks,86,Box Score,,19763,
Sat Dec 22 2001,8:00p,Utah Jazz,104,New Jersey Nets,90,Box Score,,12960,
Sat Dec 22 2001,8:30p,Minnesota Timberwolves,95,Chicago Bulls,74,Box Score,,19121,
Sat Dec 22 2001,8:30p,Orlando Magic,80,Dallas Mavericks,102,Box Score,,19920,
Sat Dec 22 2001,8:30p,Milwaukee Bucks,110,Houston Rockets,115,Box Score,,11628,
Sat Dec 22 2001,9:00p,Golden State Warriors,105,Denver Nuggets,101,Box Score,,15122,
Sat Dec 22 2001,9:00p,Portland Trail Blazers,90,Phoenix Suns,102,Box Score,,16234,
Sat Dec 22 2001,10:00p,Detroit Pistons,89,Seattle SuperSonics,117,Box Score,,14553,
Sat Dec 22 2001,10:30p,Sacramento Kings,85,Los Angeles Clippers,101,Box Score,,18964,
Sun Dec 23 2001,3:00p,Miami Heat,76,Toronto Raptors,83,Box Score,,19800,
Sun Dec 23 2001,6:00p,Memphis Grizzlies,80,Boston Celtics,85,Box Score,,15386,
Sun Dec 23 2001,7:00p,Milwaukee Bucks,101,San Antonio Spurs,91,Box Score,,24708,
Sun Dec 23 2001,9:00p,Phoenix Suns,101,Sacramento Kings,133,Box Score,,17317,
Tue Dec 25 2001,6:00p,Toronto Raptors,94,New York Knicks,102,Box Score,,19763,
Tue Dec 25 2001,8:30p,Philadelphia 76ers,82,Los Angeles Lakers,88,Box Score,,18997,
Wed Dec 26 2001,7:00p,New Jersey Nets,91,Cleveland Cavaliers,89,Box Score,,11394,
Wed Dec 26 2001,8:00p,Washington Wizards,93,Charlotte Hornets,99,Box Score,,23799,
Wed Dec 26 2001,8:00p,Chicago Bulls,85,Memphis Grizzlies,107,Box Score,,16237,
Wed Dec 26 2001,8:00p,Atlanta Hawks,97,Milwaukee Bucks,107,Box Score,,18717,
Wed Dec 26 2001,8:00p,Indiana Pacers,89,Orlando Magic,82,Box Score,,15039,
Wed Dec 26 2001,8:00p,Dallas Mavericks,126,San Antonio Spurs,123,Box Score,OT,20667,
Wed Dec 26 2001,8:30p,Phoenix Suns,97,Houston Rockets,91,Box Score,,12620,
Wed Dec 26 2001,9:00p,Minnesota Timberwolves,94,Denver Nuggets,91,Box Score,,14726,
Wed Dec 26 2001,9:00p,Boston Celtics,86,Utah Jazz,99,Box Score,,19329,
Wed Dec 26 2001,10:00p,Portland Trail Blazers,74,Sacramento Kings,89,Box Score,,17317,
Wed Dec 26 2001,10:30p,Los Angeles Lakers,90,Golden State Warriors,101,Box Score,,20036,
Wed Dec 26 2001,10:30p,Philadelphia 76ers,100,Los Angeles Clippers,86,Box Score,,19161,
Thu Dec 27 2001,7:00p,Washington Wizards,81,Indiana Pacers,108,Box Score,,18345,
Thu Dec 27 2001,7:30p,Miami Heat,96,Atlanta Hawks,100,Box Score,,13240,
Thu Dec 27 2001,7:30p,New Jersey Nets,88,Detroit Pistons,75,Box Score,,22076,
Thu Dec 27 2001,8:30p,Chicago Bulls,74,Dallas Mavericks,89,Box Score,,20018,
Thu Dec 27 2001,9:00p,Boston Celtics,82,Phoenix Suns,84,Box Score,,19023,
Thu Dec 27 2001,9:00p,Utah Jazz,99,Portland Trail Blazers,87,Box Score,,19310,
Thu Dec 27 2001,10:30p,Los Angeles Clippers,90,Seattle SuperSonics,101,Box Score,,14129,
Fri Dec 28 2001,7:30p,Milwaukee Bucks,105,Charlotte Hornets,89,Box Score,,10888,
Fri Dec 28 2001,7:30p,New York Knicks,88,Cleveland Cavaliers,98,Box Score,,14283,
Fri Dec 28 2001,7:30p,Memphis Grizzlies,91,Miami Heat,86,Box Score,,15558,
Fri Dec 28 2001,7:30p,Detroit Pistons,78,Orlando Magic,87,Box Score,,15146,
Fri Dec 28 2001,9:00p,Philadelphia 76ers,90,Denver Nuggets,93,Box Score,,18482,
Fri Dec 28 2001,10:00p,Minnesota Timberwolves,111,Sacramento Kings,125,Box Score,,17317,
Fri Dec 28 2001,10:30p,Houston Rockets,100,Golden State Warriors,93,Box Score,,14007,
Fri Dec 28 2001,10:30p,Toronto Raptors,89,Los Angeles Lakers,86,Box Score,,18997,
Sat Dec 29 2001,3:30p,Boston Celtics,105,Los Angeles Clippers,103,Box Score,OT,18964,
Sat Dec 29 2001,7:00p,Charlotte Hornets,90,Washington Wizards,107,Box Score,,20674,
Sat Dec 29 2001,7:30p,Indiana Pacers,93,New Jersey Nets,98,Box Score,OT,17023,
Sat Dec 29 2001,8:30p,Cleveland Cavaliers,80,Chicago Bulls,103,Box Score,,16342,
Sat Dec 29 2001,8:30p,Atlanta Hawks,97,Dallas Mavericks,113,Box Score,,20032,
Sat Dec 29 2001,8:30p,San Antonio Spurs,99,Milwaukee Bucks,102,Box Score,OT,18717,
Sat Dec 29 2001,9:00p,Denver Nuggets,92,Phoenix Suns,109,Box Score,,17976,
Sat Dec 29 2001,9:00p,Philadelphia 76ers,81,Utah Jazz,89,Box Score,,19911,
Sat Dec 29 2001,10:00p,Toronto Raptors,75,Seattle SuperSonics,101,Box Score,,17072,
Sun Dec 30 2001,6:00p,Miami Heat,80,Detroit Pistons,86,Box Score,,22076,
Sun Dec 30 2001,7:00p,San Antonio Spurs,83,Memphis Grizzlies,79,Box Score,,17358,
Sun Dec 30 2001,7:00p,Orlando Magic,94,New York Knicks,90,Box Score,,19763,
Sun Dec 30 2001,9:00p,Boston Celtics,94,Sacramento Kings,109,Box Score,,17317,
Sun Dec 30 2001,9:30p,Houston Rockets,90,Los Angeles Lakers,114,Box Score,,18997,
Sun Dec 30 2001,10:00p,Minnesota Timberwolves,95,Portland Trail Blazers,93,Box Score,,18543,
Mon Dec 31 2001,3:30p,Milwaukee Bucks,83,Chicago Bulls,90,Box Score,,17167,
Mon Dec 31 2001,7:00p,Miami Heat,89,Indiana Pacers,87,Box Score,,16838,
Mon Dec 31 2001,8:30p,New Jersey Nets,76,Washington Wizards,98,Box Score,,20674,
Tue Jan 1 2002,9:00p,Portland Trail Blazers,97,Los Angeles Clippers,112,Box Score,,18964,
Wed Jan 2 2002,7:00p,Orlando Magic,94,Boston Celtics,110,Box Score,,15003,
Wed Jan 2 2002,7:00p,Golden State Warriors,98,Cleveland Cavaliers,113,Box Score,,10403,
Wed Jan 2 2002,7:30p,Memphis Grizzlies,74,New Jersey Nets,92,Box Score,,7796,
Wed Jan 2 2002,8:00p,Milwaukee Bucks,77,Minnesota Timberwolves,95,Box Score,,19497,
Wed Jan 2 2002,8:30p,Dallas Mavericks,107,Chicago Bulls,97,Box Score,,17824,
Wed Jan 2 2002,8:30p,Detroit Pistons,85,San Antonio Spurs,97,Box Score,,16648,
Wed Jan 2 2002,9:00p,Los Angeles Lakers,87,Denver Nuggets,86,Box Score,,17932,
Wed Jan 2 2002,9:00p,Philadelphia 76ers,102,Phoenix Suns,81,Box Score,,18695,
Wed Jan 2 2002,10:00p,Toronto Raptors,95,Portland Trail Blazers,84,Box Score,,18117,
Wed Jan 2 2002,10:00p,Los Angeles Clippers,91,Sacramento Kings,105,Box Score,,17317,
Thu Jan 3 2002,7:00p,Golden State Warriors,102,Charlotte Hornets,114,Box Score,,7770,
Thu Jan 3 2002,7:30p,Dallas Mavericks,101,New York Knicks,108,Box Score,OT,19763,
Thu Jan 3 2002,8:30p,Detroit Pistons,97,Houston Rockets,99,Box Score,,10836,
Fri Jan 4 2002,7:00p,Cleveland Cavaliers,91,Toronto Raptors,101,Box Score,,19800,
Fri Jan 4 2002,7:00p,Chicago Bulls,83,Washington Wizards,89,Box Score,,20674,
Fri Jan 4 2002,7:30p,Miami Heat,89,Boston Celtics,66,Box Score,,16473,
Fri Jan 4 2002,7:30p,Orlando Magic,109,New Jersey Nets,96,Box Score,,14770,
Fri Jan 4 2002,8:00p,Atlanta Hawks,113,Memphis Grizzlies,109,Box Score,,13342,
Fri Jan 4 2002,8:00p,Utah Jazz,86,Minnesota Timberwolves,93,Box Score,,19579,
Fri Jan 4 2002,8:30p,Indiana Pacers,92,San Antonio Spurs,82,Box Score,,29243,
Fri Jan 4 2002,9:00p,Los Angeles Clippers,82,Denver Nuggets,80,Box Score,,16004,
Fri Jan 4 2002,10:00p,Philadelphia 76ers,87,Seattle SuperSonics,77,Box Score,,17072,
Fri Jan 4 2002,10:30p,Phoenix Suns,86,Los Angeles Lakers,118,Box Score,,18997,
Sat Jan 5 2002,7:00p,Minnesota Timberwolves,112,Atlanta Hawks,96,Box Score,,13826,
Sat Jan 5 2002,7:30p,New Jersey Nets,89,Charlotte Hornets,80,Box Score,,11476,
Sat Jan 5 2002,7:30p,Cleveland Cavaliers,91,Detroit Pistons,101,Box Score,,15194,
Sat Jan 5 2002,7:30p,Boston Celtics,90,New York Knicks,81,Box Score,,19763,
Sat Jan 5 2002,7:30p,Golden State Warriors,109,Orlando Magic,118,Box Score,,15017,
Sat Jan 5 2002,8:30p,Utah Jazz,113,Chicago Bulls,111,Box Score,OT,18076,
Sat Jan 5 2002,8:30p,San Antonio Spurs,105,Dallas Mavericks,103,Box Score,,20123,
Sat Jan 5 2002,8:30p,Indiana Pacers,81,Houston Rockets,79,Box Score,,12789,
Sat Jan 5 2002,9:00p,Sacramento Kings,118,Phoenix Suns,112,Box Score,,17042,
Sat Jan 5 2002,10:00p,Philadelphia 76ers,88,Portland Trail Blazers,96,Box Score,,20580,
Sat Jan 5 2002,10:30p,Milwaukee Bucks,83,Los Angeles Clippers,86,Box Score,,19232,
Sun Jan 6 2002,3:00p,Seattle SuperSonics,89,Memphis Grizzlies,77,Box Score,,12832,
Sun Jan 6 2002,3:00p,Los Angeles Lakers,109,Toronto Raptors,89,Box Score,,19800,
Sun Jan 6 2002,7:30p,Golden State Warriors,84,Miami Heat,92,Box Score,,15098,
Sun Jan 6 2002,9:00p,Milwaukee Bucks,101,Sacramento Kings,115,Box Score,,17317,
Mon Jan 7 2002,7:00p,Denver Nuggets,80,Charlotte Hornets,94,Box Score,,7806,
Mon Jan 7 2002,7:00p,Portland Trail Blazers,98,Cleveland Cavaliers,72,Box Score,,11032,
Mon Jan 7 2002,7:00p,Los Angeles Clippers,92,Philadelphia 76ers,116,Box Score,,20414,
Mon Jan 7 2002,7:30p,Boston Celtics,87,Orlando Magic,98,Box Score,,13273,
Mon Jan 7 2002,8:00p,Detroit Pistons,93,Minnesota Timberwolves,109,Box Score,,14427,
Mon Jan 7 2002,8:30p,Seattle SuperSonics,100,Chicago Bulls,88,Box Score,,15532,
Mon Jan 7 2002,8:30p,New York Knicks,79,San Antonio Spurs,90,Box Score,,18428,
Tue Jan 8 2002,7:00p,Los Angeles Clippers,88,Washington Wizards,96,Box Score,,20674,
Tue Jan 8 2002,7:30p,Portland Trail Blazers,92,Atlanta Hawks,101,Box Score,,7843,
Tue Jan 8 2002,7:30p,Miami Heat,95,New Jersey Nets,104,Box Score,,8195,
Tue Jan 8 2002,8:00p,Los Angeles Lakers,121,Detroit Pistons,92,Box Score,,22076,
Tue Jan 8 2002,8:00p,Toronto Raptors,81,Memphis Grizzlies,84,Box Score,,14323,
Tue Jan 8 2002,8:30p,Denver Nuggets,94,Dallas Mavericks,95,Box Score,,19617,
Tue Jan 8 2002,8:30p,New York Knicks,86,Houston Rockets,88,Box Score,,11344,
Tue Jan 8 2002,9:00p,Phoenix Suns,84,Utah Jazz,98,Box Score,,18976,
Tue Jan 8 2002,10:30p,Milwaukee Bucks,113,Golden State Warriors,97,Box Score,,14011,
Wed Jan 9 2002,7:00p,San Antonio Spurs,93,Boston Celtics,90,Box Score,,16003,
Wed Jan 9 2002,7:00p,Atlanta Hawks,87,Charlotte Hornets,111,Box Score,,10476,
Wed Jan 9 2002,7:00p,Los Angeles Lakers,109,Indiana Pacers,90,Box Score,,18345,
Wed Jan 9 2002,8:00p,Seattle SuperSonics,106,Minnesota Timberwolves,111,Box Score,,16561,
Wed Jan 9 2002,8:00p,Orlando Magic,102,Philadelphia 76ers,91,Box Score,,20496,
Wed Jan 9 2002,8:30p,Toronto Raptors,85,Chicago Bulls,73,Box Score,,16227,
Thu Jan 10 2002,7:30p,Portland Trail Blazers,92,Miami Heat,85,Box Score,,15133,
Thu Jan 10 2002,7:30p,Los Angeles Clippers,89,New Jersey Nets,108,Box Score,,15039,
Thu Jan 10 2002,9:00p,New York Knicks,89,Dallas Mavericks,111,Box Score,,20019,
Thu Jan 10 2002,9:00p,Cleveland Cavaliers,91,Denver Nuggets,96,Box Score,,13589,
Thu Jan 10 2002,9:00p,Memphis Grizzlies,102,Phoenix Suns,96,Box Score,,14379,
Thu Jan 10 2002,9:00p,Houston Rockets,79,Utah Jazz,83,Box Score,,18570,
Fri Jan 11 2002,7:00p,Chicago Bulls,90,Indiana Pacers,97,Box Score,,16096,
Fri Jan 11 2002,7:00p,San Antonio Spurs,84,Philadelphia 76ers,101,Box Score,,20488,
Fri Jan 11 2002,7:00p,Atlanta Hawks,91,Toronto Raptors,94,Box Score,OT,19800,
Fri Jan 11 2002,7:30p,Detroit Pistons,90,Boston Celtics,104,Box Score,,15642,
Fri Jan 11 2002,7:30p,Los Angeles Clippers,91,Charlotte Hornets,92,Box Score,OT,13087,
Fri Jan 11 2002,7:30p,Portland Trail Blazers,92,Orlando Magic,84,Box Score,,14752,
Fri Jan 11 2002,8:00p,Los Angeles Lakers,102,Minnesota Timberwolves,120,Box Score,,19806,
Fri Jan 11 2002,8:30p,Washington Wizards,86,Milwaukee Bucks,105,Box Score,,18717,
Fri Jan 11 2002,10:00p,Cleveland Cavaliers,100,Seattle SuperSonics,102,Box Score,,17072,
Sat Jan 12 2002,7:00p,Boston Celtics,115,Atlanta Hawks,91,Box Score,,11619,
Sat Jan 12 2002,7:00p,Minnesota Timberwolves,108,Washington Wizards,100,Box Score,,20674,
Sat Jan 12 2002,7:30p,Charlotte Hornets,76,Detroit Pistons,104,Box Score,,18788,
Sat Jan 12 2002,7:30p,Milwaukee Bucks,102,New York Knicks,97,Box Score,,19763,
Sat Jan 12 2002,7:30p,New Jersey Nets,91,Orlando Magic,85,Box Score,,14555,
Sat Jan 12 2002,8:30p,Los Angeles Lakers,104,Chicago Bulls,106,Box Score,OT,23147,
Sat Jan 12 2002,8:30p,Indiana Pacers,102,Dallas Mavericks,111,Box Score,,20071,
Sat Jan 12 2002,8:30p,Denver Nuggets,86,Houston Rockets,98,Box Score,,11045,
Sat Jan 12 2002,9:00p,Miami Heat,74,Phoenix Suns,108,Box Score,,15304,
Sat Jan 12 2002,9:00p,Memphis Grizzlies,97,Utah Jazz,95,Box Score,2OT,18875,
Sun Jan 13 2002,3:00p,Los Angeles Clippers,79,Toronto Raptors,72,Box Score,,19800,
Sun Jan 13 2002,9:00p,Phoenix Suns,100,Sacramento Kings,103,Box Score,,17317,
Sun Jan 13 2002,10:00p,Cleveland Cavaliers,64,Portland Trail Blazers,96,Box Score,,17944,
Mon Jan 14 2002,7:30p,San Antonio Spurs,97,New Jersey Nets,99,Box Score,,11091,
Mon Jan 14 2002,7:30p,Dallas Mavericks,87,Orlando Magic,113,Box Score,,13237,
Mon Jan 14 2002,9:00p,Denver Nuggets,97,Utah Jazz,106,Box Score,,17809,
Mon Jan 14 2002,10:30p,Miami Heat,85,Golden State Warriors,79,Box Score,,11604,
Mon Jan 14 2002,10:30p,Memphis Grizzlies,81,Los Angeles Lakers,120,Box Score,,18997,
Tue Jan 15 2002,7:00p,Milwaukee Bucks,106,Indiana Pacers,102,Box Score,,16445,
Tue Jan 15 2002,7:30p,Dallas Mavericks,116,Atlanta Hawks,107,Box Score,,8214,
Tue Jan 15 2002,7:30p,Toronto Raptors,92,Detroit Pistons,90,Box Score,,17045,
Tue Jan 15 2002,8:00p,Los Angeles Clippers,83,Minnesota Timberwolves,97,Box Score,,18101,
Tue Jan 15 2002,8:00p,Houston Rockets,106,Philadelphia 76ers,112,Box Score,OT,20347,
Tue Jan 15 2002,8:00p,San Antonio Spurs,96,Washington Wizards,91,Box Score,,20674,
Tue Jan 15 2002,8:30p,Charlotte Hornets,94,Chicago Bulls,86,Box Score,,17635,
Tue Jan 15 2002,10:00p,Cleveland Cavaliers,102,Sacramento Kings,109,Box Score,,17317,
Wed Jan 16 2002,7:00p,New York Knicks,100,Boston Celtics,101,Box Score,,17876,
Wed Jan 16 2002,7:00p,Houston Rockets,103,Toronto Raptors,109,Box Score,,19800,
Wed Jan 16 2002,7:30p,Washington Wizards,67,New Jersey Nets,111,Box Score,,20049,
Wed Jan 16 2002,8:00p,Sacramento Kings,112,Denver Nuggets,107,Box Score,,16780,
Wed Jan 16 2002,8:00p,Indiana Pacers,100,Milwaukee Bucks,105,Box Score,,17462,
Wed Jan 16 2002,9:00p,Portland Trail Blazers,108,Phoenix Suns,99,Box Score,,13957,
Wed Jan 16 2002,9:00p,Seattle SuperSonics,80,Utah Jazz,95,Box Score,,17594,
Wed Jan 16 2002,10:30p,Cleveland Cavaliers,88,Golden State Warriors,117,Box Score,,10243,
Wed Jan 16 2002,10:30p,Miami Heat,102,Los Angeles Lakers,96,Box Score,,18997,
Thu Jan 17 2002,7:00p,Philadelphia 76ers,93,Charlotte Hornets,88,Box Score,,11278,
Thu Jan 17 2002,7:30p,Chicago Bulls,94,Atlanta Hawks,91,Box Score,,8481,
Thu Jan 17 2002,8:00p,Dallas Mavericks,108,Memphis Grizzlies,97,Box Score,,12732,
Thu Jan 17 2002,9:00p,Utah Jazz,98,San Antonio Spurs,102,Box Score,,16868,
Thu Jan 17 2002,10:00p,Miami Heat,92,Portland Trail Blazers,90,Box Score,OT,18721,
Fri Jan 18 2002,7:00p,Detroit Pistons,96,Indiana Pacers,93,Box Score,,16565,
Fri Jan 18 2002,7:00p,New Jersey Nets,77,Toronto Raptors,89,Box Score,,19800,
Fri Jan 18 2002,7:30p,Houston Rockets,104,Boston Celtics,101,Box Score,,16317,
Fri Jan 18 2002,8:30p,Orlando Magic,110,Milwaukee Bucks,115,Box Score,,18486,
Fri Jan 18 2002,9:00p,Seattle SuperSonics,90,Denver Nuggets,96,Box Score,,17407,
Fri Jan 18 2002,9:00p,Minnesota Timberwolves,100,Phoenix Suns,103,Box Score,OT,16860,
Fri Jan 18 2002,10:00p,Golden State Warriors,97,Sacramento Kings,121,Box Score,,17317,
