Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
Fri Dec 8 2000,7:30p,Atlanta Hawks,76,Miami Heat,80,Box Score,,15031,
Fri Dec 8 2000,7:30p,Phoenix Suns,84,New Jersey Nets,86,Box Score,,12543,
Fri Dec 8 2000,8:00p,Chicago Bulls,86,Dallas Mavericks,105,Box Score,,16600,
Fri Dec 8 2000,10:00p,Philadelphia 76ers,107,Portland Trail Blazers,94,Box Score,,20113,
Fri Dec 8 2000,10:30p,Toronto Raptors,108,Golden State Warriors,92,Box Score,,18316,
Fri Dec 8 2000,10:30p,Seattle SuperSonics,103,Los Angeles Lakers,95,Box Score,,18997,
Fri Dec 8 2000,10:30p,Houston Rockets,98,Sacramento Kings,111,Box Score,,17317,
Sat Dec 9 2000,7:00p,Charlotte Hornets,96,Indiana Pacers,99,Box Score,OT,18345,
Sat Dec 9 2000,7:30p,Atlanta Hawks,90,Cleveland Cavaliers,97,Box Score,,15766,
Sat Dec 9 2000,7:30p,Denver Nuggets,88,New York Knicks,96,Box Score,,19763,
Sat Dec 9 2000,8:00p,Los Angeles Clippers,73,Minnesota Timberwolves,85,Box Score,,16143,
Sat Dec 9 2000,8:30p,Washington Wizards,91,Milwaukee Bucks,99,Box Score,,15768,
Sat Dec 9 2000,8:30p,Chicago Bulls,81,San Antonio Spurs,105,Box Score,,19447,
Sat Dec 9 2000,9:00p,Golden State Warriors,114,Utah Jazz,125,Box Score,,18777,
Sat Dec 9 2000,10:00p,Detroit Pistons,83,Portland Trail Blazers,114,Box Score,,19980,
Sat Dec 9 2000,10:00p,Houston Rockets,111,Seattle SuperSonics,104,Box Score,,15730,
Sat Dec 9 2000,10:00p,Philadelphia 76ers,83,Vancouver Grizzlies,79,Box Score,,15671,
Sun Dec 10 2000,3:30p,Phoenix Suns,95,Toronto Raptors,87,Box Score,,19800,
Sun Dec 10 2000,6:00p,Denver Nuggets,102,Boston Celtics,104,Box Score,OT,11812,
Sun Dec 10 2000,7:30p,Dallas Mavericks,99,New Jersey Nets,73,Box Score,,10654,
Sun Dec 10 2000,9:00p,Miami Heat,97,Sacramento Kings,101,Box Score,,17317,
Sun Dec 10 2000,9:30p,Detroit Pistons,88,Los Angeles Lakers,112,Box Score,,18997,
Mon Dec 11 2000,7:00p,Minnesota Timberwolves,96,Philadelphia 76ers,91,Box Score,OT,18707,
Mon Dec 11 2000,8:30p,Phoenix Suns,86,Chicago Bulls,80,Box Score,,20962,
Mon Dec 11 2000,9:00p,San Antonio Spurs,91,Utah Jazz,83,Box Score,,19911,
Mon Dec 11 2000,10:00p,Houston Rockets,82,Vancouver Grizzlies,75,Box Score,,12145,
Mon Dec 11 2000,10:30p,Orlando Magic,80,Los Angeles Clippers,92,Box Score,,9135,
Tue Dec 12 2000,7:00p,Indiana Pacers,90,Toronto Raptors,104,Box Score,,18221,
Tue Dec 12 2000,7:30p,Dallas Mavericks,87,Cleveland Cavaliers,92,Box Score,,12577,
Tue Dec 12 2000,7:30p,Minnesota Timberwolves,94,New Jersey Nets,116,Box Score,,11649,
Tue Dec 12 2000,8:00p,Sacramento Kings,99,Atlanta Hawks,107,Box Score,,18113,
Tue Dec 12 2000,9:00p,Miami Heat,96,Denver Nuggets,85,Box Score,,12894,
Tue Dec 12 2000,10:00p,Orlando Magic,92,Seattle SuperSonics,97,Box Score,,17072,
Tue Dec 12 2000,10:30p,Portland Trail Blazers,101,Golden State Warriors,93,Box Score,,13461,
Tue Dec 12 2000,10:30p,Milwaukee Bucks,109,Los Angeles Lakers,105,Box Score,,18997,
Wed Dec 13 2000,7:00p,Chicago Bulls,104,Boston Celtics,86,Box Score,,13529,
Wed Dec 13 2000,7:00p,Dallas Mavericks,92,Indiana Pacers,97,Box Score,,16740,
Wed Dec 13 2000,7:00p,Philadelphia 76ers,102,Washington Wizards,82,Box Score,,14923,
Wed Dec 13 2000,7:30p,Sacramento Kings,90,Charlotte Hornets,101,Box Score,,12806,
Wed Dec 13 2000,7:30p,Atlanta Hawks,69,Detroit Pistons,92,Box Score,,11252,
Wed Dec 13 2000,8:00p,San Antonio Spurs,93,Phoenix Suns,103,Box Score,,17333,
Wed Dec 13 2000,9:00p,Milwaukee Bucks,111,Utah Jazz,102,Box Score,,18450,
Wed Dec 13 2000,10:00p,Seattle SuperSonics,94,Vancouver Grizzlies,93,Box Score,,15102,
Wed Dec 13 2000,10:30p,Miami Heat,94,Los Angeles Clippers,88,Box Score,OT,16468,
Wed Dec 13 2000,10:30p,Los Angeles Lakers,86,Portland Trail Blazers,96,Box Score,,20491,
Thu Dec 14 2000,8:00p,New York Knicks,68,Toronto Raptors,70,Box Score,,19800,
Thu Dec 14 2000,8:30p,Denver Nuggets,102,San Antonio Spurs,96,Box Score,,15248,
Thu Dec 14 2000,10:30p,Houston Rockets,98,Golden State Warriors,95,Box Score,,10417,
Fri Dec 15 2000,7:00p,Cleveland Cavaliers,103,Indiana Pacers,95,Box Score,,16966,
Fri Dec 15 2000,7:00p,Dallas Mavericks,112,Philadelphia 76ers,94,Box Score,,18563,
Fri Dec 15 2000,7:00p,Charlotte Hornets,103,Washington Wizards,89,Box Score,,13908,
Fri Dec 15 2000,7:30p,Sacramento Kings,104,Boston Celtics,81,Box Score,,15486,
Fri Dec 15 2000,7:30p,Utah Jazz,89,New York Knicks,58,Box Score,,19763,
Fri Dec 15 2000,8:00p,Minnesota Timberwolves,99,Detroit Pistons,90,Box Score,,13744,
Fri Dec 15 2000,8:30p,Atlanta Hawks,85,Chicago Bulls,74,Box Score,,20455,
Fri Dec 15 2000,8:30p,Toronto Raptors,97,Milwaukee Bucks,104,Box Score,,16432,
Fri Dec 15 2000,9:00p,Los Angeles Clippers,98,Phoenix Suns,88,Box Score,,16689,
Fri Dec 15 2000,10:00p,Orlando Magic,96,Portland Trail Blazers,106,Box Score,,20209,
Fri Dec 15 2000,10:00p,Miami Heat,81,Seattle SuperSonics,99,Box Score,,17072,
Fri Dec 15 2000,10:30p,Vancouver Grizzlies,76,Los Angeles Lakers,98,Box Score,,18211,
Sat Dec 16 2000,7:30p,New Jersey Nets,89,Atlanta Hawks,83,Box Score,,11225,
Sat Dec 16 2000,7:30p,Boston Celtics,87,Charlotte Hornets,99,Box Score,,13040,
Sat Dec 16 2000,7:30p,Utah Jazz,92,Cleveland Cavaliers,99,Box Score,,18571,
Sat Dec 16 2000,8:00p,Indiana Pacers,110,Minnesota Timberwolves,113,Box Score,OT,17249,
Sat Dec 16 2000,8:30p,Philadelphia 76ers,99,Chicago Bulls,91,Box Score,,22110,
Sat Dec 16 2000,8:30p,Denver Nuggets,102,Houston Rockets,100,Box Score,,11907,
Sat Dec 16 2000,8:30p,Phoenix Suns,82,San Antonio Spurs,90,Box Score,,30555,
Sat Dec 16 2000,10:30p,Miami Heat,93,Golden State Warriors,85,Box Score,,16411,
Sun Dec 17 2000,1:00p,Los Angeles Lakers,104,Toronto Raptors,101,Box Score,OT,19800,
Sun Dec 17 2000,3:30p,Orlando Magic,101,Vancouver Grizzlies,91,Box Score,,13729,
Sun Dec 17 2000,6:00p,Milwaukee Bucks,97,New York Knicks,100,Box Score,OT,19763,
Sun Dec 17 2000,7:00p,Dallas Mavericks,99,Detroit Pistons,90,Box Score,,11389,
Sun Dec 17 2000,7:30p,Sacramento Kings,95,New Jersey Nets,79,Box Score,,13011,
Sun Dec 17 2000,9:00p,Washington Wizards,103,Los Angeles Clippers,94,Box Score,,12862,
Mon Dec 18 2000,7:00p,Dallas Mavericks,106,Boston Celtics,98,Box Score,,11327,
Tue Dec 19 2000,7:00p,Utah Jazz,95,Toronto Raptors,103,Box Score,,18896,
Tue Dec 19 2000,7:30p,New York Knicks,77,Atlanta Hawks,87,Box Score,,13621,
Tue Dec 19 2000,8:00p,Los Angeles Lakers,81,Miami Heat,79,Box Score,,19600,
Tue Dec 19 2000,8:30p,Indiana Pacers,90,Chicago Bulls,85,Box Score,,21454,
Tue Dec 19 2000,8:30p,San Antonio Spurs,86,Houston Rockets,79,Box Score,,12937,
Tue Dec 19 2000,9:00p,Detroit Pistons,89,Phoenix Suns,84,Box Score,,16951,
Tue Dec 19 2000,10:30p,Minnesota Timberwolves,99,Golden State Warriors,120,Box Score,,13367,
Tue Dec 19 2000,10:30p,Washington Wizards,72,Sacramento Kings,106,Box Score,,17317,
Wed Dec 20 2000,7:00p,New Jersey Nets,86,Boston Celtics,99,Box Score,,12319,
Wed Dec 20 2000,7:00p,Toronto Raptors,99,Indiana Pacers,98,Box Score,OT,18345,
Wed Dec 20 2000,7:30p,Miami Heat,56,Charlotte Hornets,65,Box Score,,13176,
Wed Dec 20 2000,8:00p,Portland Trail Blazers,101,Dallas Mavericks,106,Box Score,,17750,
Wed Dec 20 2000,8:00p,Utah Jazz,91,Philadelphia 76ers,89,Box Score,,19428,
Wed Dec 20 2000,8:30p,Cleveland Cavaliers,77,San Antonio Spurs,94,Box Score,,17336,
Wed Dec 20 2000,9:00p,Detroit Pistons,106,Denver Nuggets,108,Box Score,,16100,
Wed Dec 20 2000,10:00p,Sacramento Kings,85,Seattle SuperSonics,89,Box Score,,17072,
Wed Dec 20 2000,10:00p,Washington Wizards,104,Vancouver Grizzlies,118,Box Score,,11510,
Wed Dec 20 2000,10:30p,Minnesota Timberwolves,96,Los Angeles Clippers,103,Box Score,,15636,
Thu Dec 21 2000,7:30p,Chicago Bulls,88,Orlando Magic,99,Box Score,,14035,
Thu Dec 21 2000,8:00p,New Jersey Nets,78,Milwaukee Bucks,80,Box Score,,13439,
Thu Dec 21 2000,8:00p,Boston Celtics,92,New York Knicks,86,Box Score,,19763,
Thu Dec 21 2000,8:30p,Los Angeles Lakers,99,Houston Rockets,94,Box Score,,16285,
Fri Dec 22 2000,7:00p,Utah Jazz,109,Indiana Pacers,101,Box Score,,18345,
Fri Dec 22 2000,7:00p,New York Knicks,91,Philadelphia 76ers,71,Box Score,,20670,
Fri Dec 22 2000,7:00p,Atlanta Hawks,78,Toronto Raptors,72,Box Score,,18962,
Fri Dec 22 2000,7:30p,Cleveland Cavaliers,95,Miami Heat,103,Box Score,,15854,
Fri Dec 22 2000,8:00p,Los Angeles Lakers,108,Dallas Mavericks,103,Box Score,,18201,
Fri Dec 22 2000,8:00p,Charlotte Hornets,83,Minnesota Timberwolves,74,Box Score,,16327,
Fri Dec 22 2000,8:30p,Golden State Warriors,87,San Antonio Spurs,105,Box Score,,16481,
Fri Dec 22 2000,9:00p,Portland Trail Blazers,96,Denver Nuggets,116,Box Score,,16622,
Fri Dec 22 2000,10:00p,Washington Wizards,87,Seattle SuperSonics,107,Box Score,,12705,
Fri Dec 22 2000,10:00p,Sacramento Kings,95,Vancouver Grizzlies,93,Box Score,,14656,
Sat Dec 23 2000,7:30p,Indiana Pacers,87,Atlanta Hawks,91,Box Score,,15249,
Sat Dec 23 2000,7:30p,San Antonio Spurs,84,Charlotte Hornets,88,Box Score,OT,15079,
Sat Dec 23 2000,7:30p,Chicago Bulls,93,Detroit Pistons,106,Box Score,,13896,
Sat Dec 23 2000,7:30p,Miami Heat,86,New Jersey Nets,80,Box Score,,13542,
Sat Dec 23 2000,7:30p,Cleveland Cavaliers,92,Orlando Magic,111,Box Score,,14160,
Sat Dec 23 2000,8:00p,Utah Jazz,98,Minnesota Timberwolves,92,Box Score,,16789,
Sat Dec 23 2000,8:30p,Golden State Warriors,95,Houston Rockets,87,Box Score,,12534,
Sat Dec 23 2000,8:30p,Boston Celtics,99,Milwaukee Bucks,104,Box Score,,14786,
Sat Dec 23 2000,9:00p,Denver Nuggets,93,Phoenix Suns,102,Box Score,,18626,
Sat Dec 23 2000,10:00p,Washington Wizards,70,Portland Trail Blazers,87,Box Score,,20136,
Sat Dec 23 2000,10:30p,Vancouver Grizzlies,90,Los Angeles Clippers,92,Box Score,,12001,
Sat Dec 23 2000,10:30p,Seattle SuperSonics,92,Sacramento Kings,97,Box Score,,17317,
Mon Dec 25 2000,3:00p,Orlando Magic,93,Indiana Pacers,103,Box Score,,18345,
Mon Dec 25 2000,5:30p,Portland Trail Blazers,109,Los Angeles Lakers,104,Box Score,,18997,
Tue Dec 26 2000,7:00p,Cleveland Cavaliers,110,Charlotte Hornets,115,Box Score,OT,14442,
Tue Dec 26 2000,7:30p,Boston Celtics,96,Detroit Pistons,101,Box Score,,14568,
Tue Dec 26 2000,7:30p,Atlanta Hawks,81,New Jersey Nets,76,Box Score,,11709,
Tue Dec 26 2000,8:00p,Seattle SuperSonics,93,Dallas Mavericks,114,Box Score,,13755,
Tue Dec 26 2000,8:00p,Orlando Magic,77,Milwaukee Bucks,89,Box Score,,16089,
Tue Dec 26 2000,8:00p,Toronto Raptors,97,Minnesota Timberwolves,100,Box Score,,16828,
Tue Dec 26 2000,8:00p,Houston Rockets,95,San Antonio Spurs,103,Box Score,,21343,
Tue Dec 26 2000,9:00p,Los Angeles Clippers,108,Denver Nuggets,109,Box Score,,14226,
Tue Dec 26 2000,9:00p,Philadelphia 76ers,97,Utah Jazz,91,Box Score,,19911,
Tue Dec 26 2000,10:30p,Phoenix Suns,97,Vancouver Grizzlies,95,Box Score,,16110,
Wed Dec 27 2000,7:00p,New York Knicks,89,Washington Wizards,82,Box Score,,20674,
Wed Dec 27 2000,8:00p,Indiana Pacers,79,Miami Heat,91,Box Score,,16500,
Wed Dec 27 2000,8:30p,Seattle SuperSonics,107,Houston Rockets,92,Box Score,,13975,
Wed Dec 27 2000,10:30p,Philadelphia 76ers,118,Golden State Warriors,110,Box Score,,18726,
Thu Dec 28 2000,7:30p,Milwaukee Bucks,107,Cleveland Cavaliers,89,Box Score,,18225,
Thu Dec 28 2000,7:30p,Boston Celtics,112,New Jersey Nets,111,Box Score,,13207,
Thu Dec 28 2000,7:30p,Detroit Pistons,96,Orlando Magic,102,Box Score,,16018,
Thu Dec 28 2000,8:00p,Los Angeles Clippers,96,Dallas Mavericks,105,Box Score,,14260,
Thu Dec 28 2000,8:00p,Atlanta Hawks,81,Minnesota Timberwolves,88,Box Score,,16801,
Thu Dec 28 2000,8:00p,Portland Trail Blazers,103,Utah Jazz,102,Box Score,OT,19911,
Thu Dec 28 2000,8:30p,San Antonio Spurs,104,Chicago Bulls,105,Box Score,,21793,
Thu Dec 28 2000,9:00p,Toronto Raptors,94,Denver Nuggets,93,Box Score,,17700,
Thu Dec 28 2000,9:00p,Los Angeles Lakers,115,Phoenix Suns,78,Box Score,,19023,
Thu Dec 28 2000,10:30p,Charlotte Hornets,87,Sacramento Kings,91,Box Score,,17317,
Fri Dec 29 2000,7:30p,Cleveland Cavaliers,97,Atlanta Hawks,85,Box Score,,11686,
Fri Dec 29 2000,7:30p,Washington Wizards,91,Miami Heat,98,Box Score,,16025,
Fri Dec 29 2000,7:30p,Chicago Bulls,68,New York Knicks,95,Box Score,,19763,
Fri Dec 29 2000,10:00p,Vancouver Grizzlies,81,Portland Trail Blazers,104,Box Score,,20309,
Fri Dec 29 2000,10:30p,Utah Jazz,89,Golden State Warriors,100,Box Score,,16478,
Sat Dec 30 2000,1:00p,Orlando Magic,95,Boston Celtics,90,Box Score,,16633,
Sat Dec 30 2000,3:00p,Houston Rockets,114,Dallas Mavericks,99,Box Score,,18187,
Sat Dec 30 2000,3:30p,Charlotte Hornets,102,Seattle SuperSonics,104,Box Score,,15832,
Sat Dec 30 2000,7:30p,Miami Heat,110,Detroit Pistons,102,Box Score,OT,15789,
Sat Dec 30 2000,7:30p,San Antonio Spurs,89,Indiana Pacers,77,Box Score,,18345,
Sat Dec 30 2000,7:30p,New York Knicks,88,Minnesota Timberwolves,79,Box Score,,18322,
Sat Dec 30 2000,7:30p,Philadelphia 76ers,107,Sacramento Kings,104,Box Score,OT,17317,
Sat Dec 30 2000,9:00p,Toronto Raptors,103,Phoenix Suns,109,Box Score,,19023,
Sat Dec 30 2000,10:00p,Milwaukee Bucks,113,Denver Nuggets,120,Box Score,,15330,
Sat Dec 30 2000,10:00p,Golden State Warriors,102,Vancouver Grizzlies,101,Box Score,,14485,
Sat Dec 30 2000,10:30p,Los Angeles Lakers,116,Los Angeles Clippers,114,Box Score,OT,20327,
Sun Dec 31 2000,2:00p,New Jersey Nets,77,Chicago Bulls,86,Box Score,,20362,
Sun Dec 31 2000,8:00p,Detroit Pistons,96,Washington Wizards,110,Box Score,,13132,
Mon Jan 1 2001,3:30p,Houston Rockets,96,Minnesota Timberwolves,106,Box Score,,14779,
Mon Jan 1 2001,10:00p,Charlotte Hornets,67,Portland Trail Blazers,89,Box Score,,19980,
Tue Jan 2 2001,7:00p,Minnesota Timberwolves,108,Washington Wizards,115,Box Score,,11712,
Tue Jan 2 2001,7:30p,Boston Celtics,81,Atlanta Hawks,92,Box Score,,11194,
Tue Jan 2 2001,7:30p,Houston Rockets,100,Cleveland Cavaliers,95,Box Score,,14032,
Tue Jan 2 2001,7:30p,New Jersey Nets,120,Orlando Magic,110,Box Score,,14442,
Tue Jan 2 2001,8:30p,Milwaukee Bucks,104,Chicago Bulls,70,Box Score,,20569,
Tue Jan 2 2001,8:30p,Miami Heat,72,San Antonio Spurs,80,Box Score,,18412,
Tue Jan 2 2001,10:00p,Indiana Pacers,91,Seattle SuperSonics,83,Box Score,,17072,
Tue Jan 2 2001,10:30p,Toronto Raptors,97,Los Angeles Clippers,110,Box Score,,18037,
Tue Jan 2 2001,10:30p,Phoenix Suns,117,Sacramento Kings,121,Box Score,OT,17317,
Wed Jan 3 2001,7:00p,New York Knicks,100,Boston Celtics,91,Box Score,,15715,
Wed Jan 3 2001,7:00p,Atlanta Hawks,80,Philadelphia 76ers,98,Box Score,,17643,
Wed Jan 3 2001,8:00p,Detroit Pistons,107,Dallas Mavericks,104,Box Score,,12789,
Wed Jan 3 2001,8:00p,Cleveland Cavaliers,83,Milwaukee Bucks,88,Box Score,,13817,
Wed Jan 3 2001,9:00p,Los Angeles Clippers,85,Phoenix Suns,90,Box Score,,16592,
Wed Jan 3 2001,10:00p,Indiana Pacers,86,Portland Trail Blazers,102,Box Score,,20011,
Wed Jan 3 2001,10:00p,Charlotte Hornets,89,Vancouver Grizzlies,99,Box Score,,11873,
Wed Jan 3 2001,10:30p,Denver Nuggets,111,Golden State Warriors,100,Box Score,,12163,
Wed Jan 3 2001,10:30p,Utah Jazz,71,Los Angeles Lakers,82,Box Score,,18997,
Thu Jan 4 2001,7:30p,New Jersey Nets,78,Miami Heat,81,Box Score,,16013,
Thu Jan 4 2001,8:00p,Seattle SuperSonics,92,Minnesota Timberwolves,105,Box Score,,16045,
Thu Jan 4 2001,8:00p,Orlando Magic,92,New York Knicks,95,Box Score,OT,19763,
Thu Jan 4 2001,8:30p,Washington Wizards,96,Chicago Bulls,98,Box Score,,21488,
Thu Jan 4 2001,8:30p,Detroit Pistons,97,Houston Rockets,107,Box Score,,11646,
Fri Jan 5 2001,7:00p,Seattle SuperSonics,89,Philadelphia 76ers,121,Box Score,,20240,
Fri Jan 5 2001,7:00p,Dallas Mavericks,115,Toronto Raptors,105,Box Score,,19800,
Fri Jan 5 2001,7:30p,Golden State Warriors,100,Boston Celtics,88,Box Score,,12699,
Fri Jan 5 2001,9:00p,Utah Jazz,87,Denver Nuggets,100,Box Score,,15205,
Fri Jan 5 2001,9:00p,Vancouver Grizzlies,76,Phoenix Suns,108,Box Score,,18359,
Fri Jan 5 2001,10:00p,Milwaukee Bucks,115,Portland Trail Blazers,119,Box Score,,20580,
Fri Jan 5 2001,10:30p,Charlotte Hornets,86,Los Angeles Clippers,73,Box Score,,12484,
Fri Jan 5 2001,10:30p,Indiana Pacers,93,Sacramento Kings,91,Box Score,OT,17317,
Sat Jan 6 2001,7:00p,Dallas Mavericks,103,Washington Wizards,85,Box Score,,12741,
Sat Jan 6 2001,7:30p,Orlando Magic,82,Atlanta Hawks,83,Box Score,,13542,
Sat Jan 6 2001,7:30p,Philadelphia 76ers,107,Cleveland Cavaliers,103,Box Score,,20562,
Sat Jan 6 2001,7:30p,Boston Celtics,86,Miami Heat,112,Box Score,,16122,
Sat Jan 6 2001,7:30p,Golden State Warriors,92,New Jersey Nets,97,Box Score,,11789,
Sat Jan 6 2001,8:30p,Utah Jazz,99,Houston Rockets,97,Box Score,,13821,
Sat Jan 6 2001,8:30p,Detroit Pistons,101,San Antonio Spurs,108,Box Score,,20333,
Sun Jan 7 2001,1:00p,Seattle SuperSonics,92,Toronto Raptors,94,Box Score,,19800,
Sun Jan 7 2001,3:30p,Milwaukee Bucks,117,Vancouver Grizzlies,120,Box Score,,11771,
Sun Jan 7 2001,7:30p,Washington Wizards,87,New York Knicks,103,Box Score,,19763,
Sun Jan 7 2001,8:00p,Minnesota Timberwolves,108,Phoenix Suns,88,Box Score,,17531,
Sun Jan 7 2001,9:00p,Charlotte Hornets,87,Denver Nuggets,94,Box Score,,13111,
Sun Jan 7 2001,9:30p,Los Angeles Clippers,118,Los Angeles Lakers,95,Box Score,,18997,
Mon Jan 8 2001,7:00p,Portland Trail Blazers,98,Boston Celtics,90,Box Score,,14561,
Mon Jan 8 2001,7:30p,New Jersey Nets,90,Cleveland Cavaliers,92,Box Score,,12332,
Mon Jan 8 2001,7:30p,Golden State Warriors,78,Miami Heat,88,Box Score,,15725,
Mon Jan 8 2001,8:30p,Dallas Mavericks,104,Chicago Bulls,91,Box Score,,21344,
Mon Jan 8 2001,10:30p,Indiana Pacers,85,Los Angeles Clippers,82,Box Score,,11964,
Mon Jan 8 2001,10:30p,Minnesota Timberwolves,97,Sacramento Kings,100,Box Score,,17317,
Tue Jan 9 2001,7:00p,Chicago Bulls,95,Charlotte Hornets,102,Box Score,3OT,17439,
Tue Jan 9 2001,7:00p,Houston Rockets,110,Toronto Raptors,91,Box Score,,19106,
Tue Jan 9 2001,7:30p,Seattle SuperSonics,95,Atlanta Hawks,86,Box Score,,10477,
Tue Jan 9 2001,7:30p,Philadelphia 76ers,104,New Jersey Nets,87,Box Score,,13340,
Tue Jan 9 2001,8:00p,Washington Wizards,95,Milwaukee Bucks,99,Box Score,,13397,
Tue Jan 9 2001,8:00p,San Antonio Spurs,112,Orlando Magic,95,Box Score,,14320,
Tue Jan 9 2001,9:00p,Indiana Pacers,99,Utah Jazz,103,Box Score,,19230,
Tue Jan 9 2001,10:00p,Denver Nuggets,112,Vancouver Grizzlies,105,Box Score,,12417,
Wed Jan 10 2001,7:00p,Miami Heat,76,Boston Celtics,88,Box Score,,12758,
Wed Jan 10 2001,7:00p,Seattle SuperSonics,104,Washington Wizards,101,Box Score,,11591,
Wed Jan 10 2001,7:30p,Toronto Raptors,110,Detroit Pistons,85,Box Score,,17249,
Wed Jan 10 2001,8:00p,Dallas Mavericks,106,Minnesota Timberwolves,86,Box Score,,16274,
Wed Jan 10 2001,8:00p,Portland Trail Blazers,93,Philadelphia 76ers,75,Box Score,,20645,
Wed Jan 10 2001,10:30p,Denver Nuggets,86,Los Angeles Clippers,92,Box Score,,11251,
Wed Jan 10 2001,10:30p,Cleveland Cavaliers,103,Sacramento Kings,108,Box Score,,17317,
Thu Jan 11 2001,7:30p,Golden State Warriors,96,Atlanta Hawks,107,Box Score,,13600,
Thu Jan 11 2001,7:30p,Portland Trail Blazers,83,Charlotte Hornets,70,Box Score,,16928,
Thu Jan 11 2001,7:30p,Orlando Magic,101,New Jersey Nets,87,Box Score,,11361,
Thu Jan 11 2001,7:30p,Houston Rockets,76,New York Knicks,75,Box Score,,19763,
Thu Jan 11 2001,8:00p,Dallas Mavericks,94,Milwaukee Bucks,102,Box Score,,15675,
Thu Jan 11 2001,8:00p,Indiana Pacers,85,Phoenix Suns,93,Box Score,,17714,
Fri Jan 12 2001,7:00p,Philadelphia 76ers,86,Washington Wizards,82,Box Score,,20674,
Fri Jan 12 2001,7:30p,Toronto Raptors,93,Boston Celtics,72,Box Score,,17775,
Fri Jan 12 2001,8:00p,San Antonio Spurs,111,Detroit Pistons,90,Box Score,,14576,
Fri Jan 12 2001,8:00p,Los Angeles Clippers,89,Minnesota Timberwolves,95,Box Score,,16837,
Fri Jan 12 2001,8:30p,Charlotte Hornets,86,Chicago Bulls,85,Box Score,,21112,
Fri Jan 12 2001,9:00p,Sacramento Kings,93,Denver Nuggets,106,Box Score,,17512,
Fri Jan 12 2001,10:00p,Vancouver Grizzlies,102,Seattle SuperSonics,115,Box Score,,13196,
Fri Jan 12 2001,10:30p,Cleveland Cavaliers,98,Los Angeles Lakers,101,Box Score,,18997,
Sat Jan 13 2001,5:30p,Phoenix Suns,103,Dallas Mavericks,86,Box Score,,18187,
Sat Jan 13 2001,5:30p,Portland Trail Blazers,78,New York Knicks,91,Box Score,,19763,
Sat Jan 13 2001,8:00p,Los Angeles Clippers,88,Atlanta Hawks,108,Box Score,,19445,
Sat Jan 13 2001,8:00p,Miami Heat,71,Indiana Pacers,87,Box Score,,18345,
Sat Jan 13 2001,8:00p,Golden State Warriors,94,Orlando Magic,111,Box Score,,14046,
Sat Jan 13 2001,8:00p,San Antonio Spurs,83,Philadelphia 76ers,100,Box Score,,20607,
Sat Jan 13 2001,8:30p,Sacramento Kings,84,Houston Rockets,81,Box Score,,14552,
Sat Jan 13 2001,8:30p,New Jersey Nets,81,Milwaukee Bucks,115,Box Score,,18717,
Sat Jan 13 2001,9:00p,Los Angeles Lakers,103,Utah Jazz,111,Box Score,,19911,
Sat Jan 13 2001,10:00p,Cleveland Cavaliers,107,Vancouver Grizzlies,119,Box Score,,12540,
Sun Jan 14 2001,5:30p,Charlotte Hornets,99,Toronto Raptors,107,Box Score,,19800,
Sun Jan 14 2001,7:00p,Portland Trail Blazers,103,Detroit Pistons,96,Box Score,,16798,
Sun Jan 14 2001,7:30p,Chicago Bulls,81,Miami Heat,90,Box Score,,16014,
Sun Jan 14 2001,8:00p,Seattle SuperSonics,106,Phoenix Suns,87,Box Score,,18631,
Mon Jan 15 2001,1:00p,San Antonio Spurs,82,New York Knicks,104,Box Score,,19763,
Mon Jan 15 2001,1:00p,Milwaukee Bucks,101,Washington Wizards,95,Box Score,,15633,
Mon Jan 15 2001,2:00p,Charlotte Hornets,79,Philadelphia 76ers,84,Box Score,,20188,
Mon Jan 15 2001,2:30p,New Jersey Nets,84,Atlanta Hawks,78,Box Score,,12687,
Mon Jan 15 2001,3:00p,Sacramento Kings,116,Dallas Mavericks,105,Box Score,,18187,
Mon Jan 15 2001,3:30p,Boston Celtics,107,Minnesota Timberwolves,102,Box Score,,17228,
Mon Jan 15 2001,4:00p,Cleveland Cavaliers,107,Golden State Warriors,101,Box Score,,15289,
Mon Jan 15 2001,7:00p,Los Angeles Clippers,74,Indiana Pacers,89,Box Score,,17497,
Mon Jan 15 2001,7:30p,Chicago Bulls,104,Orlando Magic,113,Box Score,,14261,
Mon Jan 15 2001,8:00p,Vancouver Grizzlies,112,Los Angeles Lakers,113,Box Score,OT,18318,
Mon Jan 15 2001,9:00p,Seattle SuperSonics,111,Denver Nuggets,122,Box Score,,13247,
Mon Jan 15 2001,9:00p,Houston Rockets,104,Utah Jazz,116,Box Score,OT,19911,
Tue Jan 16 2001,7:30p,Detroit Pistons,85,Miami Heat,93,Box Score,,16011,
Tue Jan 16 2001,8:00p,Toronto Raptors,99,Houston Rockets,114,Box Score,,13195,
Tue Jan 16 2001,8:00p,Los Angeles Clippers,91,Milwaukee Bucks,112,Box Score,,15267,
Tue Jan 16 2001,10:00p,Cleveland Cavaliers,83,Portland Trail Blazers,103,Box Score,,19980,
Wed Jan 17 2001,7:00p,Chicago Bulls,88,Philadelphia 76ers,99,Box Score,,18674,
Wed Jan 17 2001,7:30p,Dallas Mavericks,91,Charlotte Hornets,90,Box Score,,14134,
Wed Jan 17 2001,7:30p,Washington Wizards,89,New Jersey Nets,108,Box Score,,10075,
