Date,Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
Tue Nov 16 1999,Houston Rockets,95,Dallas Mavericks,114,Box Score,,14371,
Tue Nov 16 1999,New York Knicks,102,Denver Nuggets,95,Box Score,,13196,
Tue Nov 16 1999,Chicago Bulls,79,Golden State Warriors,99,Box Score,,10340,
Tue Nov 16 1999,Portland Trail Blazers,101,Miami Heat,96,Box Score,,15200,
Tue Nov 16 1999,Los Angeles Clippers,93,Milwaukee Bucks,101,Box Score,,12465,
Tue Nov 16 1999,Vancouver Grizzlies,77,Sacramento Kings,81,Box Score,,14169,
Tue Nov 16 1999,Indiana Pacers,87,San Antonio Spurs,90,Box Score,OT,15905,
Tue Nov 16 1999,Detroit Pistons,85,Toronto Raptors,89,Box Score,,14273,
Tue Nov 16 1999,Philadelphia 76ers,95,Washington Wizards,73,Box Score,,14524,
Wed Nov 17 1999,Cleveland Cavaliers,103,Boston Celtics,114,Box Score,,14140,
Wed Nov 17 1999,Dallas Mavericks,99,Charlotte Hornets,104,Box Score,,15137,
Wed Nov 17 1999,New Jersey Nets,107,Detroit Pistons,109,Box Score,,12683,
Wed Nov 17 1999,Los Angeles Clippers,89,Minnesota Timberwolves,85,Box Score,,13677,
Wed Nov 17 1999,Portland Trail Blazers,81,Orlando Magic,79,Box Score,,13542,
Wed Nov 17 1999,Miami Heat,98,Philadelphia 76ers,93,Box Score,,15671,
Wed Nov 17 1999,Chicago Bulls,81,Phoenix Suns,105,Box Score,,18480,
Wed Nov 17 1999,Golden State Warriors,108,Seattle SuperSonics,111,Box Score,,15336,
Wed Nov 17 1999,New York Knicks,90,Utah Jazz,98,Box Score,,18890,
Thu Nov 18 1999,Los Angeles Lakers,82,Denver Nuggets,93,Box Score,,15218,
Thu Nov 18 1999,Sacramento Kings,128,Houston Rockets,110,Box Score,,14898,
Thu Nov 18 1999,San Antonio Spurs,88,Milwaukee Bucks,99,Box Score,,15184,
Thu Nov 18 1999,Seattle SuperSonics,110,Vancouver Grizzlies,108,Box Score,,12275,
Thu Nov 18 1999,Toronto Raptors,81,Washington Wizards,92,Box Score,,12134,
Fri Nov 19 1999,New Jersey Nets,96,Boston Celtics,109,Box Score,,15201,
Fri Nov 19 1999,Sacramento Kings,103,Dallas Mavericks,94,Box Score,,15507,
Fri Nov 19 1999,Cleveland Cavaliers,90,Detroit Pistons,101,Box Score,,15377,
Fri Nov 19 1999,Atlanta Hawks,105,Indiana Pacers,99,Box Score,,18345,
Fri Nov 19 1999,Chicago Bulls,95,Los Angeles Lakers,103,Box Score,,18401,
Fri Nov 19 1999,Utah Jazz,84,Minnesota Timberwolves,89,Box Score,,17517,
Fri Nov 19 1999,Charlotte Hornets,103,Orlando Magic,92,Box Score,,12936,
Fri Nov 19 1999,Portland Trail Blazers,97,Philadelphia 76ers,91,Box Score,,20622,
Fri Nov 19 1999,New York Knicks,81,Phoenix Suns,96,Box Score,,19023,
Fri Nov 19 1999,Los Angeles Clippers,100,Toronto Raptors,106,Box Score,,16368,
Sat Nov 20 1999,Orlando Magic,107,Atlanta Hawks,103,Box Score,,14338,
Sat Nov 20 1999,Portland Trail Blazers,100,Charlotte Hornets,96,Box Score,OT,20688,
Sat Nov 20 1999,Indiana Pacers,107,Cleveland Cavaliers,98,Box Score,,13806,
Sat Nov 20 1999,Chicago Bulls,86,Denver Nuggets,95,Box Score,,15920,
Sat Nov 20 1999,New York Knicks,86,Golden State Warriors,79,Box Score,,18533,
Sat Nov 20 1999,Boston Celtics,92,Miami Heat,110,Box Score,,15200,
Sat Nov 20 1999,Utah Jazz,111,Milwaukee Bucks,100,Box Score,,18027,
Sat Nov 20 1999,Philadelphia 76ers,100,New Jersey Nets,96,Box Score,,15118,
Sat Nov 20 1999,Dallas Mavericks,90,San Antonio Spurs,106,Box Score,,16596,
Sat Nov 20 1999,Houston Rockets,107,Seattle SuperSonics,110,Box Score,,15816,
Sat Nov 20 1999,Los Angeles Clippers,98,Washington Wizards,89,Box Score,,11753,
Sun Nov 21 1999,Milwaukee Bucks,94,Detroit Pistons,113,Box Score,,13163,
Sun Nov 21 1999,Toronto Raptors,111,Los Angeles Lakers,102,Box Score,,18676,
Sun Nov 21 1999,Seattle SuperSonics,86,Phoenix Suns,99,Box Score,,18663,
Sun Nov 21 1999,Houston Rockets,105,Sacramento Kings,110,Box Score,,17317,
Sun Nov 21 1999,Minnesota Timberwolves,105,Vancouver Grizzlies,81,Box Score,,12493,
Mon Nov 22 1999,Indiana Pacers,85,Boston Celtics,95,Box Score,,15728,
Mon Nov 22 1999,San Antonio Spurs,94,Philadelphia 76ers,91,Box Score,,16553,
Mon Nov 22 1999,Minnesota Timberwolves,93,Utah Jazz,108,Box Score,,19725,
Tue Nov 23 1999,Miami Heat,106,Atlanta Hawks,113,Box Score,,11279,
Tue Nov 23 1999,Portland Trail Blazers,100,Cleveland Cavaliers,103,Box Score,,13565,
Tue Nov 23 1999,Dallas Mavericks,99,Houston Rockets,119,Box Score,,15088,
Tue Nov 23 1999,New York Knicks,95,Los Angeles Clippers,100,Box Score,,14487,
Tue Nov 23 1999,Toronto Raptors,93,Phoenix Suns,94,Box Score,,18718,
Tue Nov 23 1999,New Jersey Nets,92,Sacramento Kings,105,Box Score,,17021,
Tue Nov 23 1999,Vancouver Grizzlies,87,Washington Wizards,89,Box Score,,11219,
Wed Nov 24 1999,San Antonio Spurs,121,Boston Celtics,98,Box Score,,17426,
Wed Nov 24 1999,Vancouver Grizzlies,73,Charlotte Hornets,89,Box Score,,16003,
Wed Nov 24 1999,Toronto Raptors,84,Denver Nuggets,109,Box Score,,13624,
Wed Nov 24 1999,New Jersey Nets,92,Golden State Warriors,84,Box Score,,10017,
Wed Nov 24 1999,Utah Jazz,82,Los Angeles Lakers,90,Box Score,,18997,
Wed Nov 24 1999,Atlanta Hawks,91,Miami Heat,93,Box Score,,14554,
Wed Nov 24 1999,Chicago Bulls,95,Milwaukee Bucks,102,Box Score,,14209,
Wed Nov 24 1999,Portland Trail Blazers,88,Minnesota Timberwolves,81,Box Score,,16219,
Wed Nov 24 1999,Dallas Mavericks,100,Orlando Magic,112,Box Score,,12741,
Wed Nov 24 1999,Washington Wizards,101,Philadelphia 76ers,93,Box Score,,14616,
Thu Nov 25 1999,Detroit Pistons,107,Indiana Pacers,99,Box Score,,18345,
Fri Nov 26 1999,Milwaukee Bucks,114,Boston Celtics,112,Box Score,,18027,
Fri Nov 26 1999,Washington Wizards,85,Charlotte Hornets,118,Box Score,,18542,
Fri Nov 26 1999,Minnesota Timberwolves,105,Denver Nuggets,114,Box Score,,18506,
Fri Nov 26 1999,Atlanta Hawks,91,Detroit Pistons,93,Box Score,,17891,
Fri Nov 26 1999,Vancouver Grizzlies,86,Indiana Pacers,105,Box Score,,18345,
Fri Nov 26 1999,New Jersey Nets,80,Los Angeles Lakers,103,Box Score,,18997,
Fri Nov 26 1999,Cleveland Cavaliers,83,Philadelphia 76ers,106,Box Score,,16320,
Fri Nov 26 1999,Houston Rockets,88,Portland Trail Blazers,91,Box Score,OT,20477,
Fri Nov 26 1999,Golden State Warriors,95,Sacramento Kings,124,Box Score,,17317,
Fri Nov 26 1999,Chicago Bulls,78,San Antonio Spurs,101,Box Score,,24919,
Fri Nov 26 1999,Los Angeles Clippers,93,Seattle SuperSonics,98,Box Score,,14439,
Fri Nov 26 1999,Toronto Raptors,100,Utah Jazz,87,Box Score,,19771,
Sat Nov 27 1999,Boston Celtics,84,Atlanta Hawks,94,Box Score,,13736,
Sat Nov 27 1999,Charlotte Hornets,89,Cleveland Cavaliers,106,Box Score,,15194,
Sat Nov 27 1999,Chicago Bulls,83,Dallas Mavericks,95,Box Score,,14436,
Sat Nov 27 1999,Toronto Raptors,106,Golden State Warriors,88,Box Score,,12251,
Sat Nov 27 1999,Portland Trail Blazers,88,Los Angeles Clippers,71,Box Score,,14552,
Sat Nov 27 1999,Washington Wizards,86,Miami Heat,89,Box Score,,14621,
Sat Nov 27 1999,Philadelphia 76ers,82,Milwaukee Bucks,79,Box Score,,15216,
Sat Nov 27 1999,Vancouver Grizzlies,82,Minnesota Timberwolves,113,Box Score,,16881,
Sat Nov 27 1999,Orlando Magic,96,New York Knicks,99,Box Score,,19763,
Sat Nov 27 1999,New Jersey Nets,90,Phoenix Suns,129,Box Score,,19023,
Sat Nov 27 1999,Denver Nuggets,87,San Antonio Spurs,106,Box Score,,22188,
Sun Nov 28 1999,Orlando Magic,108,Detroit Pistons,99,Box Score,,13212,
Sun Nov 28 1999,Indiana Pacers,91,Seattle SuperSonics,102,Box Score,,14644,
Mon Nov 29 1999,Sacramento Kings,88,Miami Heat,98,Box Score,,14723,
Mon Nov 29 1999,Dallas Mavericks,82,New York Knicks,107,Box Score,,19763,
Mon Nov 29 1999,Indiana Pacers,93,Portland Trail Blazers,91,Box Score,,20049,
Mon Nov 29 1999,Golden State Warriors,99,Utah Jazz,115,Box Score,,18892,
Mon Nov 29 1999,Houston Rockets,118,Vancouver Grizzlies,110,Box Score,OT,15086,
Tue Nov 30 1999,Dallas Mavericks,99,Cleveland Cavaliers,106,Box Score,,11033,
Tue Nov 30 1999,Phoenix Suns,94,Los Angeles Clippers,80,Box Score,,10233,
Tue Nov 30 1999,Denver Nuggets,92,Minnesota Timberwolves,109,Box Score,,13117,
Tue Nov 30 1999,Washington Wizards,85,New Jersey Nets,78,Box Score,,13507,
Tue Nov 30 1999,Sacramento Kings,111,Orlando Magic,102,Box Score,,14439,
Tue Nov 30 1999,New York Knicks,70,Philadelphia 76ers,74,Box Score,,17420,
Tue Nov 30 1999,Detroit Pistons,87,San Antonio Spurs,106,Box Score,,18328,
Tue Nov 30 1999,Los Angeles Lakers,101,Seattle SuperSonics,77,Box Score,,17072,
Tue Nov 30 1999,Atlanta Hawks,107,Toronto Raptors,89,Box Score,,16862,
Wed Dec 1 1999,Detroit Pistons,96,Denver Nuggets,100,Box Score,,11881,
Wed Dec 1 1999,Golden State Warriors,75,Los Angeles Lakers,93,Box Score,,17689,
Wed Dec 1 1999,Philadelphia 76ers,83,Miami Heat,90,Box Score,,14513,
Wed Dec 1 1999,Houston Rockets,122,Phoenix Suns,128,Box Score,2OT,18630,
Wed Dec 1 1999,Charlotte Hornets,90,Portland Trail Blazers,94,Box Score,,19980,
Wed Dec 1 1999,Indiana Pacers,96,Vancouver Grizzlies,89,Box Score,,11683,
Wed Dec 1 1999,Cleveland Cavaliers,111,Washington Wizards,108,Box Score,,12144,
Thu Dec 2 1999,Sacramento Kings,100,Atlanta Hawks,110,Box Score,,14537,
Thu Dec 2 1999,Dallas Mavericks,101,Chicago Bulls,95,Box Score,,22109,
Thu Dec 2 1999,Seattle SuperSonics,117,Golden State Warriors,108,Box Score,,10112,
Thu Dec 2 1999,Houston Rockets,109,Los Angeles Clippers,96,Box Score,,10673,
Thu Dec 2 1999,New York Knicks,84,Milwaukee Bucks,80,Box Score,,14365,
Thu Dec 2 1999,Orlando Magic,103,Minnesota Timberwolves,93,Box Score,,13228,
Thu Dec 2 1999,San Antonio Spurs,96,New Jersey Nets,94,Box Score,,13626,
Fri Dec 3 1999,Miami Heat,84,Boston Celtics,96,Box Score,,15954,
Fri Dec 3 1999,Philadelphia 76ers,102,Cleveland Cavaliers,100,Box Score,OT,14626,
Fri Dec 3 1999,Orlando Magic,112,Denver Nuggets,100,Box Score,,14383,
Fri Dec 3 1999,San Antonio Spurs,80,Detroit Pistons,102,Box Score,,18338,
Fri Dec 3 1999,Portland Trail Blazers,80,Los Angeles Lakers,93,Box Score,,18997,
Fri Dec 3 1999,Washington Wizards,93,Toronto Raptors,95,Box Score,,15787,
Fri Dec 3 1999,Indiana Pacers,100,Utah Jazz,75,Box Score,,19084,
Fri Dec 3 1999,Charlotte Hornets,113,Vancouver Grizzlies,94,Box Score,,12107,
Sat Dec 4 1999,Detroit Pistons,110,Atlanta Hawks,112,Box Score,,17328,
Sat Dec 4 1999,Milwaukee Bucks,92,Chicago Bulls,91,Box Score,,22188,
Sat Dec 4 1999,Utah Jazz,94,Golden State Warriors,82,Box Score,,11790,
Sat Dec 4 1999,Phoenix Suns,95,Houston Rockets,105,Box Score,,16285,
Sat Dec 4 1999,Seattle SuperSonics,102,Los Angeles Clippers,89,Box Score,,10326,
Sat Dec 4 1999,Dallas Mavericks,103,Minnesota Timberwolves,84,Box Score,,16671,
Sat Dec 4 1999,New York Knicks,92,New Jersey Nets,82,Box Score,,20049,
Sat Dec 4 1999,Boston Celtics,74,Philadelphia 76ers,77,Box Score,,16784,
Sat Dec 4 1999,Sacramento Kings,114,Washington Wizards,104,Box Score,,19220,
Sun Dec 5 1999,Orlando Magic,100,Los Angeles Lakers,117,Box Score,,18422,
Sun Dec 5 1999,Dallas Mavericks,97,Milwaukee Bucks,103,Box Score,,12214,
Sun Dec 5 1999,Denver Nuggets,80,New York Knicks,78,Box Score,,19763,
Sun Dec 5 1999,Portland Trail Blazers,92,Phoenix Suns,90,Box Score,,19023,
Sun Dec 5 1999,Charlotte Hornets,103,Seattle SuperSonics,81,Box Score,,12233,
Sun Dec 5 1999,San Antonio Spurs,92,Toronto Raptors,98,Box Score,,18455,
Mon Dec 6 1999,Vancouver Grizzlies,99,Houston Rockets,102,Box Score,,14458,
Mon Dec 6 1999,Miami Heat,99,Los Angeles Clippers,91,Box Score,,10194,
Mon Dec 6 1999,Sacramento Kings,95,New Jersey Nets,109,Box Score,,13127,
Mon Dec 6 1999,Denver Nuggets,94,Philadelphia 76ers,77,Box Score,,14108,
Mon Dec 6 1999,Washington Wizards,96,Utah Jazz,102,Box Score,,19000,
Tue Dec 7 1999,Vancouver Grizzlies,104,Dallas Mavericks,95,Box Score,,11552,
Tue Dec 7 1999,San Antonio Spurs,77,Indiana Pacers,83,Box Score,,18345,
Tue Dec 7 1999,Washington Wizards,80,Los Angeles Lakers,91,Box Score,,17571,
Tue Dec 7 1999,Detroit Pistons,116,Milwaukee Bucks,112,Box Score,,12847,
Tue Dec 7 1999,Golden State Warriors,83,New York Knicks,89,Box Score,,19763,
Tue Dec 7 1999,Orlando Magic,107,Phoenix Suns,110,Box Score,,18249,
Tue Dec 7 1999,Miami Heat,86,Portland Trail Blazers,76,Box Score,,20317,
Tue Dec 7 1999,Cleveland Cavaliers,98,Toronto Raptors,101,Box Score,,15162,
Wed Dec 8 1999,Los Angeles Clippers,81,Atlanta Hawks,99,Box Score,,16378,
Wed Dec 8 1999,Denver Nuggets,90,Boston Celtics,115,Box Score,,15730,
Wed Dec 8 1999,Golden State Warriors,106,Charlotte Hornets,113,Box Score,,15327,
Wed Dec 8 1999,Chicago Bulls,93,Cleveland Cavaliers,107,Box Score,,11226,
Wed Dec 8 1999,Milwaukee Bucks,90,New Jersey Nets,107,Box Score,,12366,
Wed Dec 8 1999,Houston Rockets,73,Philadelphia 76ers,83,Box Score,,19109,
Wed Dec 8 1999,Los Angeles Lakers,91,Sacramento Kings,103,Box Score,,17317,
Wed Dec 8 1999,Minnesota Timberwolves,94,Seattle SuperSonics,110,Box Score,,13180,
Wed Dec 8 1999,Dallas Mavericks,79,Utah Jazz,85,Box Score,,18090,
Thu Dec 9 1999,Washington Wizards,85,Phoenix Suns,99,Box Score,,18053,
Thu Dec 9 1999,Minnesota Timberwolves,86,Portland Trail Blazers,90,Box Score,,19980,
Thu Dec 9 1999,Vancouver Grizzlies,91,San Antonio Spurs,99,Box Score,,14778,
Fri Dec 10 1999,Golden State Warriors,107,Atlanta Hawks,99,Box Score,,14313,
